zipCode,prem2018,prem2022,premChange,premPctChange,lossRatio,claimFreq,claimSev,nonRenew,nonPay
28478,1189.58,1094.95,-94.63,-7.95,0.36,0.05,10889,0.01,0
27842,1605.25,1681.12,75.87,4.73,0.41,0.05,14164,0.01,0
27343,1613.64,1631.61,17.96,1.11,0.5,0.03,28477,0.01,0
27958,1217.03,1478.54,261.5,21.49,0.31,0.02,21146,0.02,0
28393,1835.29,1662.47,-172.82,-9.42,0.41,0.07,14683,0.01,0
27876,1415.87,1472.88,57.01,4.03,0.3,0.06,9016,0.01,0
28618,1212.56,1310.76,98.21,8.1,0.25,0.04,9834,0.01,0
27824,1319.17,1813.39,494.22,37.46,0.07,0.02,5360,0.03,0
28773,1250.95,1403.31,152.36,12.18,0.59,0.05,18539,0.01,0
27007,1144.3,1169.72,25.42,2.22,0.22,0.03,7266,0.01,0
28731,1339.06,1438.81,99.75,7.45,0.36,0.04,13424,0.01,0
27615,1584.45,1822.88,238.43,15.05,0.53,0.07,14901,0.02,0
28790,1299.71,1467.28,167.57,12.89,0.38,0.05,11845,0.01,0
28713,1249.57,1280.6,31.03,2.48,0.29,0.03,14847,0.01,0
28430,1879,1914.18,35.19,1.87,0.35,0.08,8998,0.01,0
28150,1132.59,1216.27,83.69,7.39,0.53,0.05,13767,0.01,0
27563,1109.79,1212.07,102.28,9.22,0.61,0.05,15450,0.01,0
27921,1145.75,1207.23,61.47,5.37,0.46,0.03,20115,0.02,0
27356,1193.33,1283.8,90.47,7.58,0.37,0.03,18691,0.01,0
28631,1190.27,1291.45,101.18,8.5,0.08,0.01,5306,0,0
27209,1131.16,1164.86,33.7,2.98,0.54,0.05,16526,0.01,0
27507,1385.87,1389.93,4.06,0.29,0.27,0.06,7385,0.01,0
27846,1575.27,1652.89,77.62,4.93,0.23,0.05,7741,0.01,0
28708,1066.36,1095.77,29.41,2.76,0.25,0.04,7205,0.01,0
28649,1190.4,1219.9,29.5,2.48,0.28,0.05,8225,0.01,0
28763,1048.99,1142.29,93.3,8.89,0.39,0.03,16663,0.01,0
28615,1165.65,1213.99,48.34,4.15,0.1,0.02,7811,0.01,0
28385,1471.14,1617.17,146.03,9.93,0.4,0.07,9654,0.02,0
28511,705.56,777.96,72.41,10.26,0.28,0.04,8382,0.01,0
27537,1251.59,1249.84,-1.75,-0.14,0.54,0.06,11641,0.01,0
27262,1284.58,1423.01,138.43,10.78,0.46,0.05,13296,0.02,0
27012,1243.64,1335.49,91.85,7.39,0.48,0.06,12567,0.01,0
28117,1689.97,1884.6,194.64,11.52,0.61,0.07,18128,0.02,0
28660,1032.05,1197.62,165.57,16.04,0.4,0.05,10070,0.02,0
28636,900.13,1021.86,121.74,13.52,0.65,0.05,15252,0.01,0
27516,1448.33,1572.03,123.7,8.54,0.48,0.06,14808,0.01,0
